Description,Price,Rating,ReviewCount,Url,5StarPct,4StarPct,3StarPct,2StarPct,1StarPct,ReleaseDate,Brand,Manufacturer,Package Dimensions,Manufacturer Reference,Resolution,Processor Brand,Processor Type,Processor Speed,RAM Size,Computer Memory Type,Hard Drive Size,Hard Drive Description,Hard Drive Interface,Graphics Processor Manufacturer,Wireless Type,Voltage,Operating System,ASIN,Product Weight
"Huawei Matebook 16s, 16"" FHD, Intel Core i9-13900H, 16GB RAM, 1TB SSD, Integrated Intel Iris Xe Graphics, Windows 11 Home","40.999,00 TL","5 yıldız üzerinden 4,5",74,https://www.amazon.com.tr/sspa/click?ie=UTF8&spc=MTo4NTM4MTkxMTUxMjAxMTIzOjE3MzI4MzEzMzQ6c3BfYXRmOjMwMDEyODMwODk0MjAzMjo6MDo6&url=%2FMatebook-i9-13900H-Integrated-Graphics-Windows%2Fdp%2FB0C7LS1RKS%2Fref%3Dsr_1_1_sspa%3F__mk_tr_TR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D6B9N7CEYX8L5%26dib%3DeyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732831334%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Yorumların % 70 kadarı 5 yıldıza sahip,Yorumların % 16 kadarı 4 yıldıza sahip,Yorumların % 6 kadarı 3 yıldıza sahip,Yorumların % 4 kadarı 2 yıldıza sahip,Yorumların % 3 kadarı 1 yıldıza sahip,9 Haziran 2023,‎HUAWEI,‎Huawei,‎52 x 32 x 6.6 cm; 1.99 Kilogram,,‎2560x1680 Pixels,‎Intel,‎Intel Core i9,‎5.4 GHz,‎16,,‎1 TB,‎SSD,‎Solid State,‎Intel,"‎802.11a/b/g/n/ac, Bluetooth, 802.11ax",,‎Windows 11 Home,‎B0C7LS1RKS,‎1.99 Kilograms
Lenovo ThinkBook 16p G4 21J80032TR i7-13700H 32GB 1TB SSD 8GB GeForce RTX 4060 16'' WQXGA FreeDos Notebook,"53.599,00 TL","5 yıldız üzerinden 4,5",12,https://www.amazon.com.tr/sspa/click?ie=UTF8&spc=MTo4NTM4MTkxMTUxMjAxMTIzOjE3MzI4MzEzMzQ6c3BfYXRmOjMwMDE2MjkxMzEzNDYzMjo6MDo6&url=%2FLenovo-ThinkBook-21J80032TR-i7-13700H-Notebook%2Fdp%2FB0CSKBXT6K%2Fref%3Dsr_1_2_sspa%3F__mk_tr_TR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D6B9N7CEYX8L5%26dib%3DeyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732831334%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Yorumların % 76 kadarı 5 yıldıza sahip,Yorumların % 12 kadarı 4 yıldıza sahip,Yorumların % 0 kadarı 3 yıldıza sahip,Yorumların % 12 kadarı 2 yıldıza sahip,Yorumların % 0 kadarı 1 yıldıza sahip,17 Ocak 2024,‎Lenovo,‎Lenovo,‎50 x 40 x 30 cm; 2.2 Kilogram,‎197528970585,‎2560 x 1600 Pixels,‎NVIDIA,‎Core i7,‎3.7 GHz,‎32 GB,‎DDR5 RAM,‎1 TB,‎SSD,‎Solid State,‎NVIDIA,‎Bluetooth,‎1 Volts,‎Windows,‎B0CSKBXT6K,‎2.2 Kilograms
"Lenovo ThinkBook G6 IRL 21KG00UCTR Intel i5-13420H 16GB RAM 512 GB SSD 14"" (1920X1200) IPS FREEDOS Taşınabilir Bilgisayar","21.499,00 TL","5 yıldız üzerinden 5,0",5,https://www.amazon.com.tr/sspa/click?ie=UTF8&spc=MTo4NTM4MTkxMTUxMjAxMTIzOjE3MzI4MzEzMzQ6c3BfYXRmOjMwMDQwMTU0MDA4NzgzMjo6MDo6&url=%2FLenovo-ThinkBook-21KG00UCTR-Ta%25C5%259F%25C4%25B1nabilir-Bilgisayar%2Fdp%2FB0DHVM83YG%2Fref%3Dsr_1_3_sspa%3F__mk_tr_TR%3D%25C3%2585M%25C3%2585%25C5%25BD%25C3%2595%25C3%2591%26crid%3D6B9N7CEYX8L5%26dib%3DeyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1732831334%26sr%3D8-3-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,Yorumların % 100 kadarı 5 yıldıza sahip,Yorumların % 0 kadarı 4 yıldıza sahip,Yorumların % 0 kadarı 3 yıldıza sahip,Yorumların % 0 kadarı 2 yıldıza sahip,Yorumların % 0 kadarı 1 yıldıza sahip,24 Eylül 2024,‎Lenovo,‎Lenovo,,,,‎Intel,‎Core i5,‎3.4,,,,‎SSD,,‎Intel,,,‎DOS,‎B0DHVM83YG,‎2 Kilograms
"HP 15 Dizüstü Bilgisayar, 15,6 inç FHD, Intel Core i3-1115G4, 8 GB Ram, 256 GB SSD, FreeDOS, Kömür Grisi, 2N2N7EA","7.999,00 TL","5 yıldız üzerinden 4,1",93,https://www.amazon.com.tr/HP-Diz%C3%BCst%C3%BC-Bilgisayar-i3-1115G4-2N2N7EA/dp/B0CQRKSDYC/ref=sr_1_4?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-4,Yorumların % 65 kadarı 5 yıldıza sahip,Yorumların % 12 kadarı 4 yıldıza sahip,Yorumların % 5 kadarı 3 yıldıza sahip,Yorumların % 6 kadarı 2 yıldıza sahip,Yorumların % 12 kadarı 1 yıldıza sahip,21 Aralık 2023,‎HP,‎HP,‎48.4 x 30.4 x 6.8 cm; 2.46 Kilogram,,,‎Intel,‎Core i3,‎4.7,‎8 GB,,‎256 GB,‎SSD,‎Solid State,‎Intel,,,‎DOS,‎B0CQRKSDYC,‎2.46 Kilograms
"Lenovo IdeaPad Slim 3 15IAH8 Dizüstü Bilgisayar, 15.6"" FHD TN 250nits Anti-Glare, Intel Core i5-12450H, 16GB RAM, 512GB SSD, Intel UHD Graphics, FreeDOS, 83ER008KTR","15.999,00 TL","5 yıldız üzerinden 5,0",3,https://www.amazon.com.tr/Lenovo-IdeaPad-i5-12450H-FreeDOS-83ER008KTR/dp/B0CZRHHRPH/ref=sr_1_5?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-5,Yorumların % 100 kadarı 5 yıldıza sahip,Yorumların % 0 kadarı 4 yıldıza sahip,Yorumların % 0 kadarı 3 yıldıza sahip,Yorumların % 0 kadarı 2 yıldıza sahip,Yorumların % 0 kadarı 1 yıldıza sahip,3 Nisan 2024,‎Lenovo,‎Lenovo,‎48.4 x 33.2 x 7.6 cm; 2.46 Kilogram,,,‎Intel,‎Core i5-12450H,‎2 GHz,‎16,,‎512 GB,‎SSD,‎PCIE x 4,‎Intel,,,‎DOS,‎B0CZRHHRPH,‎2.46 Kilograms
"ASUS TUF A15 - FA506NC-HN047W Gaming Dizüstü Bilgisayar,15.6 inç, AMD Ryzen 5 7535HS Processor 3.3GHz, 512 GB SSD,8 GB RAM, RTX 3050 Laptop GPU- Intel® UHD Graphics,W11","24.909,99 TL","5 yıldız üzerinden 3,7",11,https://www.amazon.com.tr/ASUS-TUF-A15-FA506NC-HN047W-Bilgisayar/dp/B086ZTSH2W/ref=sr_1_6?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-6,Yorumların % 27 kadarı 5 yıldıza sahip,Yorumların % 43 kadarı 4 yıldıza sahip,Yorumların % 19 kadarı 3 yıldıza sahip,Yorumların % 0 kadarı 2 yıldıza sahip,Yorumların % 12 kadarı 1 yıldıza sahip,28 Haziran 2024,‎ASUS,‎ASUS,‎80 x 68 x 57 cm; 4 Kilogram,,‎1920 x 1080 Pixels,‎Intel,‎Ryzen 5,‎3.3 GHz,,,‎512 GB,‎SSD,‎Solid State,‎NVIDIA,,,‎Windows 11 Home,‎B086ZTSH2W,‎4 Kilograms
"ASUS TUF F15 - FX507ZC4-HN211W Gaming Dizüstü Bilgisayar,15.6 inç, 12. Nesil Intel® Core™ i5-12500H Islemci 2.5 GHz, 512 GB SSD, 8 GB RAM, RTX 3050 Laptop GPU 4GB GDDR6, W11","27.599,00 TL","5 yıldız üzerinden 4,2",21,https://www.amazon.com.tr/ASUS-TUF-F15-FX507ZC4-HN211W-Bilgisayar/dp/B07MRHJK46/ref=sr_1_7?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-7,Yorumların % 62 kadarı 5 yıldıza sahip,Yorumların % 20 kadarı 4 yıldıza sahip,Yorumların % 7 kadarı 3 yıldıza sahip,Yorumların % 0 kadarı 2 yıldıza sahip,Yorumların % 12 kadarı 1 yıldıza sahip,28 Haziran 2024,‎ASUS,‎ASUS,‎80 x 68 x 57 cm; 4 Kilogram,,‎1920 x 1080 Pixels,‎Intel,‎Core i5,‎2.5 GHz,‎8 GB,,‎512 GB,‎SSD,‎Solid State,‎NVIDIA,‎Bluetooth,‎240 Volts,‎Windows 11 Home,‎B07MRHJK46,‎4 Kilograms
"ASUS Vivobook 15 - X1504ZA-NJ566 15.6 inç FHD (1920 x 1080) 16:9, i5-1235U, DDR4 8GB, 512GB M.2 NVMe PCIe 4.0 SSD, Intel UHD N/A, FreeDOS, Dizüstü Bilgisayar","14.999,00 TL","5 yıldız üzerinden 3,6",4,https://www.amazon.com.tr/ASUS-Vivobook-15-X1504ZA-NJ566-Bilgisayar/dp/B08HLQTYXW/ref=sr_1_9?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-9,Yorumların % 46 kadarı 5 yıldıza sahip,Yorumların % 27 kadarı 4 yıldıza sahip,Yorumların % 0 kadarı 3 yıldıza sahip,Yorumların % 0 kadarı 2 yıldıza sahip,Yorumların % 27 kadarı 1 yıldıza sahip,30 Mayıs 2024,‎ASUS,‎ASUS,‎48.3 x 28.8 x 6.5 cm; 2.82 Kilogram,,‎1920 x 1080 Pixels,‎Intel,‎Core i5-1235U,‎1.3 GHz,‎8,‎DDR4 SDRAM,‎512 GB,‎SSD,‎Solid State,‎Intel,,,‎Free DOS,‎B08HLQTYXW,‎2.82 Kilograms
"Lenovo IdeaPad 1 15AMN7 Dizüstü Bilgisayar, 15.6"" FHD TN 220nits, AMD Ryzen 3 7320U, 8 GB RAM, 256 GB SSD, Integrated AMD Radeon 610M Graphics, FreeDOS, 82VG008ATX","9.996,00 TL","5 yıldız üzerinden 4,6",38,https://www.amazon.com.tr/Lenovo-Bilgisayar-Integrated-Graphics-82VG008ATX/dp/B0CK871H2F/ref=sr_1_10?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-10,Yorumların % 73 kadarı 5 yıldıza sahip,Yorumların % 19 kadarı 4 yıldıza sahip,Yorumların % 4 kadarı 3 yıldıza sahip,Yorumların % 0 kadarı 2 yıldıza sahip,Yorumların % 4 kadarı 1 yıldıza sahip,2 Ekim 2023,‎Lenovo,‎Lenovo,‎49.6 x 30.6 x 7.8 cm; 2.44 Kilogram,,,‎AMD,‎Ryzen 3,‎2.4,,,‎256 GB,‎SSD,‎PCIE x 4,‎AMD,‎801.11ac,,‎DOS,‎B0CK871H2F,‎2.44 Kilograms
"Acer Aspire 3 A315-510P-38X0 Dizüstü Bilgisayar, 15.6 inç FHD, Intel i3-N305, 8 GB DDR5 RAM, 256 GB SSD, FreeDOS, Gümüş","9.163,00 TL","5 yıldız üzerinden 4,4",292,https://www.amazon.com.tr/Acer-A315-510P-38X0-Diz%C3%BCst%C3%BC-Bilgisayar-i3-N305/dp/B0C1K8T32W/ref=sr_1_11?__mk_tr_TR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=6B9N7CEYX8L5&dib=eyJ2IjoiMSJ9.RLZxpvL1NB8spl3PbZiSTot35Tbwm7z4NwbIKa5OVVDclqFr1QCAB25o5_jQVaFvc76VFjMbERSRbv_SPZmsTWSEKJJbdCpLrN7xvTw76e_1JKVA_YHcpag0ntUyxoGxfScBK_TfEkeqpPtg2gteupvRZnyRIf-bn_BwxZpuPU4sVIewaTNXmyEIaMebQYDXUuehMBQzii7YNeKoNbUdyJYU9-vyjwcySnTDlHdy-lTZBJTQc6xf8Yt4KE0FNoL1gfE4QN8-Fy4oLPq59eek9JldJ09NyO4f49i8m1pwxo4.Su6eFLE_ZTMG32C9ApN7DT2cRPi2eoQGox4ncvPkO2E&dib_tag=se&keywords=laptop&qid=1732831334&sr=8-11,Yorumların % 73 kadarı 5 yıldıza sahip,Yorumların % 14 kadarı 4 yıldıza sahip,Yorumların % 5 kadarı 3 yıldıza sahip,Yorumların % 2 kadarı 2 yıldıza sahip,Yorumların % 7 kadarı 1 yıldıza sahip,5 Nisan 2023,‎Acer,‎Acer,,,‎1920 x 1080 Pixels,‎Intel,‎Core i3,‎1.8 GHz,‎8 GB,,‎256 GB,‎SSD,‎Solid State,‎Intel,,,‎FreeDOS,‎B0C1K8T32W,‎1.7 Kilograms
